Aktive/Passive,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Year,Amount
Aktiva,  ,,,,2011,18705.5
Aktiva,Sachvermögen,,,,2011,11822.6
Aktiva,Alle Anlagegüter 1),,,,2011,8724.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2011,8302.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2011,9.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2011,1181.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2011,7111.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2011,4205.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2011,2906
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2011,422.4
Aktiva,Grund und Boden  ,,,,2011,3097.8
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2011,2709.9
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2011,6882.9
Aktiva,  ,,,,2012,19579.3
Aktiva,Sachvermögen,,,,2012,12199.9
Aktiva,Alle Anlagegüter 1),,,,2012,9010.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2012,8570.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2012,10.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2012,1203.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2012,7356.7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2012,4367.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2012,2989.2
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2012,440
Aktiva,Grund und Boden  ,,,,2012,3189.3
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2012,2786.4
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2012,7379.4
Aktiva,  ,,,,2013,19536.8
Aktiva,Sachvermögen,,,,2013,12577.5
Aktiva,Alle Anlagegüter 1),,,,2013,9267.7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2013,8814.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2013,10.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2013,1212.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2013,7591.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2013,4530.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2013,3060.6
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2013,453.4
Aktiva,Grund und Boden  ,,,,2013,3309.8
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2013,2875.7
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2013,6959.3
Aktiva,  ,,,,2014,20725.8
Aktiva,Sachvermögen,,,,2014,13030.3
Aktiva,Alle Anlagegüter 1),,,,2014,9524.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2014,9051.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2014,9.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2014,1234.2
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2014,7807.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2014,4676.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2014,3131.6
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2014,472.8
Aktiva,Grund und Boden  ,,,,2014,3505.7
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2014,3043
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2014,7695.5
Aktiva,  ,,,,2015,21512
Aktiva,Sachvermögen,,,,2015,13592.5
Aktiva,Alle Anlagegüter 1),,,,2015,9756.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2015,9261.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2015,10.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2015,1262.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2015,7988.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2015,4800.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2015,3188.1
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2015,495.7
Aktiva,Grund und Boden  ,,,,2015,3835.7
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2015,3310.6
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2015,7919.5
Aktiva,  ,,,,2016,22341.7
Aktiva,Sachvermögen,,,,2016,14079.7
Aktiva,Alle Anlagegüter 1),,,,2016,9998.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2016,9480.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2016,9.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2016,1291.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2016,8179.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2016,4953.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2016,3226.1
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2016,517.5
Aktiva,Grund und Boden  ,,,,2016,4081.6
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2016,3538.2
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2016,8262
Aktiva,  ,,,,2017,23330.5
Aktiva,Sachvermögen,,,,2017,14981.1
Aktiva,Alle Anlagegüter 1),,,,2017,10374.7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2017,9831.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2017,9.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2017,1318
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2017,8504.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2017,5155.7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2017,3348.4
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2017,542.9
Aktiva,Grund und Boden  ,,,,2017,4606.4
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2017,4019.9
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2017,8349.4
